,coords_str,lat,lon,distance_to_center,p,q,r,dl_done,asian,european,fast,night_life,other,sweet,all
0,30_-30_0,48.841318512556455,2.391292041288257,5196,30,-30,0,1.0,3.0,2.0,0.0,1.0,0.0,1.0,8.0
1,29_-30_1,48.84080579630832,2.3899423065786483,5111,29,-30,1,1.0,4.0,2.0,1.0,2.0,0.0,1.0,11.0
2,28_-30_2,48.84029308006021,2.38859257186904,5031,28,-30,2,1.0,3.0,2.0,1.0,1.0,0.0,1.0,9.0
3,27_-30_3,48.8397803638121,2.387242837159431,4956,27,-30,3,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
4,26_-30_4,48.83926764756397,2.3858931024498227,4886,26,-30,4,1.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0
5,25_-30_5,48.83875493131586,2.3845433677402137,4821,25,-30,5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0
6,24_-30_6,48.83824221506774,2.3831936330306056,4762,24,-30,6,1.0,1.0,3.0,0.0,0.0,1.0,0.0,6.0
7,23_-30_7,48.83772949881962,2.381843898320997,4708,23,-30,7,1.0,3.0,5.0,1.0,0.0,1.0,0.0,11.0
8,22_-30_8,48.837216782571495,2.3804941636113885,4660,22,-30,8,1.0,2.0,4.0,0.0,0.0,1.0,0.0,8.0
9,21_-30_9,48.836704066323385,2.37914442890178,4618,21,-30,9,1.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0
10,20_-30_10,48.83619135007528,2.3777946941921715,4582,20,-30,10,1.0,0.0,1.0,0.0,5.0,2.0,0.0,9.0
11,19_-30_11,48.83567863382715,2.376444959482563,4553,19,-30,11,1.0,0.0,1.0,2.0,5.0,2.0,0.0,11.0
12,18_-30_12,48.83516591757903,2.375095224772954,4529,18,-30,12,1.0,0.0,1.0,3.0,5.0,2.0,0.0,12.0
13,17_-30_13,48.83465320133091,2.373745490063345,4513,17,-30,13,1.0,0.0,1.0,3.0,3.0,1.0,0.0,9.0
14,16_-30_14,48.83414048508279,2.372395755353737,4503,16,-30,14,1.0,0.0,2.0,2.0,1.0,1.0,0.0,7.0
15,15_-30_15,48.83362776883467,2.3710460206441284,4500,15,-30,15,1.0,0.0,3.0,1.0,1.0,1.0,0.0,7.0
16,14_-30_16,48.833115052586564,2.36969628593452,4503,14,-30,16,1.0,0.0,3.0,1.0,1.0,1.0,0.0,7.0
17,13_-30_17,48.83260233633843,2.368346551224912,4513,13,-30,17,1.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0
18,12_-30_18,48.83208962009032,2.3669968165153032,4529,12,-30,18,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
19,11_-30_19,48.83157690384221,2.3656470818056943,4553,11,-30,19,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
20,10_-30_20,48.83106418759409,2.3642973470960857,4582,10,-30,20,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
21,9_-30_21,48.830551471345956,2.362947612386477,4618,9,-30,21,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
22,8_-30_22,48.830038755097846,2.3615978776768687,4660,8,-30,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
23,7_-30_23,48.82952603884973,2.36024814296726,4708,7,-30,23,1.0,7.0,0.0,0.0,0.0,0.0,0.0,8.0
24,6_-30_24,48.82901332260161,2.3588984082576507,4762,6,-30,24,1.0,6.0,0.0,2.0,0.0,0.0,0.0,9.0
25,5_-30_25,48.828500606353494,2.3575486735480427,4821,5,-30,25,1.0,9.0,1.0,6.0,0.0,0.0,0.0,17.0
26,4_-30_26,48.82798789010538,2.356198938838434,4886,4,-30,26,1.0,11.0,2.0,7.0,0.0,0.0,0.0,21.0
27,3_-30_27,48.82747517385726,2.3548492041288256,4956,3,-30,27,1.0,2.0,6.0,8.0,0.0,1.0,0.0,18.0
28,2_-30_28,48.82696245760914,2.3534994694192166,5031,2,-30,28,1.0,2.0,6.0,8.0,2.0,2.0,0.0,21.0
29,1_-30_29,48.826449741361024,2.3521497347096085,5111,1,-30,29,1.0,3.0,7.0,8.0,6.0,2.0,1.0,28.0
30,0_-30_30,48.825937025112886,2.3508,5196,0,-30,30,1.0,3.0,6.0,6.0,6.0,2.0,1.0,25.0
31,30_-29_-1,48.84234394505268,2.391292041288257,5111,30,-29,-1,1.0,4.0,2.0,1.0,1.0,0.0,1.0,10.0
32,29_-29_0,48.84183122880457,2.3899423065786483,5022,29,-29,0,1.0,4.0,2.0,1.0,1.0,0.0,1.0,10.0
33,28_-29_1,48.841318512556455,2.38859257186904,4938,28,-29,1,1.0,4.0,2.0,0.0,0.0,0.0,0.0,7.0
34,27_-29_2,48.84080579630832,2.387242837159431,4859,27,-29,2,1.0,3.0,1.0,0.0,0.0,0.0,0.0,5.0
35,26_-29_3,48.84029308006021,2.3858931024498227,4784,26,-29,3,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
36,25_-29_4,48.8397803638121,2.3845433677402137,4714,25,-29,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
37,24_-29_5,48.83926764756397,2.3831936330306056,4650,24,-29,5,1.0,1.0,3.0,0.0,0.0,1.0,0.0,6.0
38,23_-29_6,48.83875493131586,2.381843898320997,4592,23,-29,6,1.0,1.0,4.0,0.0,1.0,1.0,0.0,8.0
39,22_-29_7,48.83824221506774,2.3804941636113885,4539,22,-29,7,1.0,3.0,6.0,3.0,1.0,1.0,0.0,15.0
40,21_-29_8,48.83772949881962,2.37914442890178,4493,21,-29,8,1.0,1.0,4.0,1.0,1.0,1.0,0.0,9.0
41,20_-29_9,48.837216782571495,2.3777946941921715,4453,20,-29,9,1.0,0.0,1.0,1.0,2.0,2.0,0.0,7.0
42,19_-29_10,48.836704066323385,2.376444959482563,4419,19,-29,10,1.0,0.0,1.0,2.0,3.0,2.0,0.0,9.0
43,18_-29_11,48.83619135007528,2.375095224772954,4392,18,-29,11,1.0,0.0,2.0,5.0,3.0,2.0,0.0,13.0
44,17_-29_12,48.83567863382715,2.373745490063345,4371,17,-29,12,1.0,0.0,2.0,6.0,3.0,2.0,0.0,14.0
45,16_-29_13,48.83516591757903,2.372395755353737,4357,16,-29,13,1.0,0.0,3.0,3.0,1.0,0.0,0.0,8.0
46,15_-29_14,48.83465320133091,2.3710460206441284,4350,15,-29,14,1.0,0.0,2.0,2.0,2.0,1.0,0.0,8.0
47,14_-29_15,48.83414048508279,2.36969628593452,4350,14,-29,15,1.0,1.0,2.0,2.0,1.0,1.0,0.0,8.0
48,13_-29_16,48.83362776883467,2.368346551224912,4357,13,-29,16,1.0,1.0,2.0,2.0,1.0,1.0,0.0,8.0
49,12_-29_17,48.833115052586564,2.3669968165153032,4371,12,-29,17,1.0,2.0,1.0,1.0,0.0,1.0,0.0,6.0
50,11_-29_18,48.83260233633843,2.3656470818056943,4392,11,-29,18,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0
51,10_-29_19,48.83208962009032,2.3642973470960857,4419,10,-29,19,1.0,2.0,0.0,1.0,0.0,1.0,0.0,5.0
52,9_-29_20,48.83157690384221,2.362947612386477,4453,9,-29,20,1.0,3.0,0.0,0.0,0.0,1.0,0.0,5.0
53,8_-29_21,48.83106418759409,2.3615978776768687,4493,8,-29,21,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0
54,7_-29_22,48.830551471345956,2.36024814296726,4539,7,-29,22,1.0,5.0,0.0,0.0,0.0,0.0,1.0,7.0
55,6_-29_23,48.830038755097846,2.3588984082576507,4592,6,-29,23,1.0,6.0,0.0,1.0,0.0,0.0,2.0,10.0
56,5_-29_24,48.82952603884973,2.3575486735480427,4650,5,-29,24,1.0,7.0,1.0,2.0,0.0,0.0,1.0,12.0
57,4_-29_25,48.82901332260161,2.356198938838434,4714,4,-29,25,1.0,11.0,4.0,9.0,0.0,2.0,0.0,27.0
58,3_-29_26,48.828500606353494,2.3548492041288256,4784,3,-29,26,1.0,8.0,8.0,8.0,0.0,3.0,0.0,28.0
59,2_-29_27,48.82798789010538,2.3534994694192166,4859,2,-29,27,1.0,5.0,9.0,9.0,4.0,3.0,0.0,31.0
60,1_-29_28,48.82747517385726,2.3521497347096085,4938,1,-29,28,1.0,4.0,11.0,7.0,7.0,2.0,1.0,33.0
61,0_-29_29,48.82696245760914,2.3508,5022,0,-29,29,1.0,4.0,12.0,7.0,8.0,2.0,1.0,35.0
62,-1_-29_30,48.826449741361024,2.3494502652903915,5111,-1,-29,30,1.0,3.0,8.0,7.0,7.0,2.0,1.0,29.0
63,30_-28_-2,48.84336937754893,2.391292041288257,5031,30,-28,-2,1.0,5.0,2.0,3.0,0.0,0.0,0.0,11.0
64,29_-28_-1,48.84285666130079,2.3899423065786483,4938,29,-28,-1,1.0,5.0,2.0,3.0,0.0,0.0,0.0,11.0
65,28_-28_0,48.84234394505268,2.38859257186904,4849,28,-28,0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,10.0
